Training: 2021-10-26 09:48:49,661-rank_id: 0
Training: 2021-10-26 09:49:03,435-softmax weight init successfully!
Training: 2021-10-26 09:49:03,435-softmax weight mom init successfully!
Training: 2021-10-26 09:49:03,436-: loss                     arcface
Training: 2021-10-26 09:49:03,436-: network                  r18
Training: 2021-10-26 09:49:03,436-: resume                   False
Training: 2021-10-26 09:49:03,436-: output                   /output/webface_r18_1024
Training: 2021-10-26 09:49:03,436-: dataset                  webface
Training: 2021-10-26 09:49:03,436-: embedding_size           1024
Training: 2021-10-26 09:49:03,436-: sample_rate              1
Training: 2021-10-26 09:49:03,436-: fp16                     False
Training: 2021-10-26 09:49:03,436-: momentum                 0.9
Training: 2021-10-26 09:49:03,437-: weight_decay             0.0005
Training: 2021-10-26 09:49:03,437-: batch_size               64
Training: 2021-10-26 09:49:03,437-: lr                       0.1
Training: 2021-10-26 09:49:03,437-: rec                      /data
Training: 2021-10-26 09:49:03,437-: num_classes              10572
Training: 2021-10-26 09:49:03,437-: num_image                forget
Training: 2021-10-26 09:49:03,437-: num_epoch                1
Training: 2021-10-26 09:49:03,437-: warmup_epoch             -1
Training: 2021-10-26 09:49:03,437-: decay_epoch              [20, 30, 40]
Training: 2021-10-26 09:49:03,437-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2021-10-26 09:49:03,437-: warmup_step              -2483
Training: 2021-10-26 09:49:03,437-: total_step               2483
Training: 2021-10-26 09:49:03,437-: decay_step               [49674, 74512, 99349]
Training: 2021-10-26 09:49:03,438-Dataset initialization
Training: 2021-10-26 09:50:18,534-Dataset initialization completed
Training: 2021-10-26 09:50:21,764-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-26 09:50:50,363-Speed 438.05 samples/sec   Loss 43.6813   LearningRate 0.0250000   Epoch: 0   Global Step: 100   Required: 0 hours
Training: 2021-10-26 09:51:05,267-Speed 429.60 samples/sec   Loss 43.5541   LearningRate 0.0250000   Epoch: 0   Global Step: 150   Required: 0 hours
Training: 2021-10-26 09:51:20,684-Speed 415.30 samples/sec   Loss 43.0158   LearningRate 0.0250000   Epoch: 0   Global Step: 200   Required: 0 hours
Training: 2021-10-26 09:51:36,318-Speed 409.54 samples/sec   Loss 42.6093   LearningRate 0.0250000   Epoch: 0   Global Step: 250   Required: 0 hours
Training: 2021-10-26 09:51:51,515-Speed 421.31 samples/sec   Loss 42.2738   LearningRate 0.0250000   Epoch: 0   Global Step: 300   Required: 0 hours
Training: 2021-10-26 09:52:06,528-Speed 426.50 samples/sec   Loss 41.8446   LearningRate 0.0250000   Epoch: 0   Global Step: 350   Required: 0 hours
Training: 2021-10-26 09:52:21,499-Speed 427.67 samples/sec   Loss 41.4373   LearningRate 0.0250000   Epoch: 0   Global Step: 400   Required: 0 hours
Training: 2021-10-26 09:52:36,683-Speed 421.68 samples/sec   Loss 41.1580   LearningRate 0.0250000   Epoch: 0   Global Step: 450   Required: 0 hours
Training: 2021-10-26 09:52:51,921-Speed 420.21 samples/sec   Loss 40.9166   LearningRate 0.0250000   Epoch: 0   Global Step: 500   Required: 0 hours
Training: 2021-10-26 09:53:07,176-Speed 419.73 samples/sec   Loss 40.5067   LearningRate 0.0250000   Epoch: 0   Global Step: 550   Required: 0 hours
Training: 2021-10-26 09:53:22,387-Speed 420.93 samples/sec   Loss 40.1881   LearningRate 0.0250000   Epoch: 0   Global Step: 600   Required: 0 hours
Training: 2021-10-26 09:53:37,565-Speed 421.87 samples/sec   Loss 39.8621   LearningRate 0.0250000   Epoch: 0   Global Step: 650   Required: 0 hours
Training: 2021-10-26 09:53:52,778-Speed 420.86 samples/sec   Loss 39.6185   LearningRate 0.0250000   Epoch: 0   Global Step: 700   Required: 0 hours
Training: 2021-10-26 09:54:08,014-Speed 420.24 samples/sec   Loss 39.3783   LearningRate 0.0250000   Epoch: 0   Global Step: 750   Required: 0 hours
Training: 2021-10-26 09:54:23,223-Speed 420.99 samples/sec   Loss 39.0399   LearningRate 0.0250000   Epoch: 0   Global Step: 800   Required: 0 hours
Training: 2021-10-26 09:54:38,433-Speed 420.96 samples/sec   Loss 38.7336   LearningRate 0.0250000   Epoch: 0   Global Step: 850   Required: 0 hours
Training: 2021-10-26 09:54:53,653-Speed 420.66 samples/sec   Loss 38.4529   LearningRate 0.0250000   Epoch: 0   Global Step: 900   Required: 0 hours
Training: 2021-10-26 09:55:08,889-Speed 420.24 samples/sec   Loss 38.1884   LearningRate 0.0250000   Epoch: 0   Global Step: 950   Required: 0 hours
Training: 2021-10-26 09:55:24,098-Speed 421.27 samples/sec   Loss 37.8927   LearningRate 0.0250000   Epoch: 0   Global Step: 1000   Required: 0 hours
Training: 2021-10-26 09:55:39,313-Speed 420.85 samples/sec   Loss 37.5496   LearningRate 0.0250000   Epoch: 0   Global Step: 1050   Required: 0 hours
Training: 2021-10-26 09:55:54,524-Speed 420.93 samples/sec   Loss 37.4499   LearningRate 0.0250000   Epoch: 0   Global Step: 1100   Required: 0 hours
Training: 2021-10-26 09:56:09,752-Speed 420.48 samples/sec   Loss 36.9675   LearningRate 0.0250000   Epoch: 0   Global Step: 1150   Required: 0 hours
Training: 2021-10-26 09:56:24,983-Speed 420.34 samples/sec   Loss 36.8632   LearningRate 0.0250000   Epoch: 0   Global Step: 1200   Required: 0 hours
Training: 2021-10-26 09:56:40,188-Speed 421.09 samples/sec   Loss 36.4969   LearningRate 0.0250000   Epoch: 0   Global Step: 1250   Required: 0 hours
Training: 2021-10-26 09:56:55,403-Speed 420.84 samples/sec   Loss 36.0514   LearningRate 0.0250000   Epoch: 0   Global Step: 1300   Required: 0 hours
Training: 2021-10-26 09:57:10,620-Speed 420.77 samples/sec   Loss 35.7302   LearningRate 0.0250000   Epoch: 0   Global Step: 1350   Required: 0 hours
Training: 2021-10-26 09:57:25,858-Speed 420.18 samples/sec   Loss 35.5250   LearningRate 0.0250000   Epoch: 0   Global Step: 1400   Required: 0 hours
