Training: 2021-10-28 22:55:31,500-rank_id: 0
Training: 2021-10-28 22:55:37,537-backbone resume successfully!
Training: 2021-10-28 22:55:37,600-softmax weight init!
Training: 2021-10-28 22:55:37,601-softmax weight mom init!
Training: 2021-10-28 22:55:37,601-: loss                     arcface
Training: 2021-10-28 22:55:37,601-: network                  r18
Training: 2021-10-28 22:55:37,601-: resume                   True
Training: 2021-10-28 22:55:37,602-: output                   /output/webface_r18_2048_2
Training: 2021-10-28 22:55:37,602-: dataset                  webface
Training: 2021-10-28 22:55:37,602-: embedding_size           2048
Training: 2021-10-28 22:55:37,602-: sample_rate              1
Training: 2021-10-28 22:55:37,602-: fp16                     False
Training: 2021-10-28 22:55:37,602-: momentum                 0.9
Training: 2021-10-28 22:55:37,602-: weight_decay             0.0005
Training: 2021-10-28 22:55:37,602-: batch_size               32
Training: 2021-10-28 22:55:37,602-: lr                       0.01
Training: 2021-10-28 22:55:37,602-: rec                      /data
Training: 2021-10-28 22:55:37,602-: num_classes              10572
Training: 2021-10-28 22:55:37,602-: num_image                forget
Training: 2021-10-28 22:55:37,602-: num_epoch                10
Training: 2021-10-28 22:55:37,603-: warmup_epoch             -1
Training: 2021-10-28 22:55:37,603-: decay_epoch              []
Training: 2021-10-28 22:55:37,603-: val_targets              ['agedb_30', 'dev_00', 'dev_04']
Training: 2021-10-28 22:55:37,603-: resume_file              /pretrained/backbone_phase1.pth
Training: 2021-10-28 22:55:37,603-: warmup_step              -9934
Training: 2021-10-28 22:55:37,603-: total_step               99340
Training: 2021-10-28 22:55:37,603-: decay_step               []
Training: 2021-10-28 22:55:37,603-Dataset initialization
Training: 2021-10-28 22:56:49,618-Dataset initialization completed
Training: 2021-10-28 22:56:52,757-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-28 22:57:13,404-Speed 159.08 samples/sec   Loss 40.3347   LearningRate 0.0006250   Epoch: 0   Global Step: 100   Required: 6 hours
Training: 2021-10-28 22:57:23,879-Speed 152.96 samples/sec   Loss 39.1672   LearningRate 0.0006250   Epoch: 0   Global Step: 150   Required: 6 hours
Training: 2021-10-28 22:57:34,445-Speed 151.66 samples/sec   Loss 38.7285   LearningRate 0.0006250   Epoch: 0   Global Step: 200   Required: 6 hours
Training: 2021-10-28 22:57:44,555-Speed 158.49 samples/sec   Loss 37.8472   LearningRate 0.0006250   Epoch: 0   Global Step: 250   Required: 6 hours
Training: 2021-10-28 22:57:55,289-Speed 149.27 samples/sec   Loss 37.3634   LearningRate 0.0006250   Epoch: 0   Global Step: 300   Required: 6 hours
Training: 2021-10-28 22:58:05,241-Speed 161.02 samples/sec   Loss 36.9720   LearningRate 0.0006250   Epoch: 0   Global Step: 350   Required: 6 hours
Training: 2021-10-28 22:58:15,217-Speed 160.62 samples/sec   Loss 36.1457   LearningRate 0.0006250   Epoch: 0   Global Step: 400   Required: 6 hours
Training: 2021-10-28 22:58:25,141-Speed 161.47 samples/sec   Loss 35.6322   LearningRate 0.0006250   Epoch: 0   Global Step: 450   Required: 6 hours
Training: 2021-10-28 22:58:35,138-Speed 160.30 samples/sec   Loss 35.4655   LearningRate 0.0006250   Epoch: 0   Global Step: 500   Required: 6 hours
Training: 2021-10-28 22:58:44,837-Speed 165.23 samples/sec   Loss 34.4494   LearningRate 0.0006250   Epoch: 0   Global Step: 550   Required: 6 hours
Training: 2021-10-28 22:58:54,554-Speed 164.92 samples/sec   Loss 34.0941   LearningRate 0.0006250   Epoch: 0   Global Step: 600   Required: 6 hours
Training: 2021-10-28 22:59:03,918-Speed 171.15 samples/sec   Loss 33.9399   LearningRate 0.0006250   Epoch: 0   Global Step: 650   Required: 6 hours
Training: 2021-10-28 22:59:13,424-Speed 168.57 samples/sec   Loss 33.8880   LearningRate 0.0006250   Epoch: 0   Global Step: 700   Required: 6 hours
Training: 2021-10-28 22:59:22,748-Speed 171.89 samples/sec   Loss 33.2530   LearningRate 0.0006250   Epoch: 0   Global Step: 750   Required: 6 hours
Training: 2021-10-28 22:59:32,162-Speed 170.23 samples/sec   Loss 32.6357   LearningRate 0.0006250   Epoch: 0   Global Step: 800   Required: 6 hours
Training: 2021-10-28 22:59:41,281-Speed 175.74 samples/sec   Loss 32.3664   LearningRate 0.0006250   Epoch: 0   Global Step: 850   Required: 6 hours
Training: 2021-10-28 22:59:50,309-Speed 177.52 samples/sec   Loss 32.3220   LearningRate 0.0006250   Epoch: 0   Global Step: 900   Required: 5 hours
Training: 2021-10-28 22:59:59,024-Speed 183.90 samples/sec   Loss 32.0105   LearningRate 0.0006250   Epoch: 0   Global Step: 950   Required: 5 hours
Training: 2021-10-28 23:00:07,734-Speed 184.03 samples/sec   Loss 31.8124   LearningRate 0.0006250   Epoch: 0   Global Step: 1000   Required: 5 hours
Training: 2021-10-28 23:00:16,249-Speed 188.23 samples/sec   Loss 31.4777   LearningRate 0.0006250   Epoch: 0   Global Step: 1050   Required: 5 hours
Training: 2021-10-28 23:00:24,744-Speed 188.70 samples/sec   Loss 30.8127   LearningRate 0.0006250   Epoch: 0   Global Step: 1100   Required: 5 hours
Training: 2021-10-28 23:00:33,243-Speed 188.59 samples/sec   Loss 31.0274   LearningRate 0.0006250   Epoch: 0   Global Step: 1150   Required: 5 hours
Training: 2021-10-28 23:00:41,715-Speed 189.18 samples/sec   Loss 31.0377   LearningRate 0.0006250   Epoch: 0   Global Step: 1200   Required: 5 hours
Training: 2021-10-28 23:00:50,178-Speed 189.40 samples/sec   Loss 30.5043   LearningRate 0.0006250   Epoch: 0   Global Step: 1250   Required: 5 hours
Training: 2021-10-28 23:00:58,650-Speed 189.20 samples/sec   Loss 29.8503   LearningRate 0.0006250   Epoch: 0   Global Step: 1300   Required: 5 hours
Training: 2021-10-28 23:01:07,137-Speed 188.88 samples/sec   Loss 30.1702   LearningRate 0.0006250   Epoch: 0   Global Step: 1350   Required: 5 hours
Training: 2021-10-28 23:01:15,622-Speed 188.89 samples/sec   Loss 29.9345   LearningRate 0.0006250   Epoch: 0   Global Step: 1400   Required: 5 hours
Training: 2021-10-28 23:01:24,119-Speed 188.66 samples/sec   Loss 29.4055   LearningRate 0.0006250   Epoch: 0   Global Step: 1450   Required: 5 hours
Training: 2021-10-28 23:01:32,629-Speed 188.35 samples/sec   Loss 29.6013   LearningRate 0.0006250   Epoch: 0   Global Step: 1500   Required: 5 hours
Training: 2021-10-28 23:01:41,133-Speed 188.48 samples/sec   Loss 28.7463   LearningRate 0.0006250   Epoch: 0   Global Step: 1550   Required: 5 hours
Training: 2021-10-28 23:01:49,649-Speed 188.21 samples/sec   Loss 28.4904   LearningRate 0.0006250   Epoch: 0   Global Step: 1600   Required: 5 hours
Training: 2021-10-28 23:01:58,158-Speed 188.37 samples/sec   Loss 28.4281   LearningRate 0.0006250   Epoch: 0   Global Step: 1650   Required: 5 hours
Training: 2021-10-28 23:02:06,662-Speed 188.49 samples/sec   Loss 28.5215   LearningRate 0.0006250   Epoch: 0   Global Step: 1700   Required: 5 hours
Training: 2021-10-28 23:02:15,163-Speed 188.56 samples/sec   Loss 28.2649   LearningRate 0.0006250   Epoch: 0   Global Step: 1750   Required: 5 hours
Training: 2021-10-28 23:02:23,677-Speed 188.26 samples/sec   Loss 27.6807   LearningRate 0.0006250   Epoch: 0   Global Step: 1800   Required: 5 hours
Training: 2021-10-28 23:02:32,178-Speed 188.52 samples/sec   Loss 27.8285   LearningRate 0.0006250   Epoch: 0   Global Step: 1850   Required: 5 hours
Training: 2021-10-28 23:02:40,672-Speed 188.73 samples/sec   Loss 27.7919   LearningRate 0.0006250   Epoch: 0   Global Step: 1900   Required: 5 hours
Training: 2021-10-28 23:02:49,154-Speed 188.96 samples/sec   Loss 27.5547   LearningRate 0.0006250   Epoch: 0   Global Step: 1950   Required: 5 hours
Training: 2021-10-28 23:02:57,664-Speed 188.36 samples/sec   Loss 27.2065   LearningRate 0.0006250   Epoch: 0   Global Step: 2000   Required: 5 hours
Training: 2021-10-28 23:03:45,072-[agedb_30][2000]XNorm: 26.769652
Training: 2021-10-28 23:03:45,072-[agedb_30][2000]Accuracy-Flip: 0.73933+-0.01188
Training: 2021-10-28 23:03:45,072-[agedb_30][2000]Accuracy-Highest: 0.73933
Training: 2021-10-28 23:05:40,854-[dev_00][2000]XNorm: 33.584352
Training: 2021-10-28 23:05:40,854-[dev_00][2000]Accuracy-Flip: 0.52540+-0.04764
Training: 2021-10-28 23:05:40,855-[dev_00][2000]Accuracy-Highest: 0.52540
Training: 2021-10-28 23:06:32,118-[dev_04][2000]XNorm: 33.709222
Training: 2021-10-28 23:06:32,119-[dev_04][2000]Accuracy-Flip: 0.49527+-0.01114
Training: 2021-10-28 23:06:32,119-[dev_04][2000]Accuracy-Highest: 0.49527
Training: 2021-10-28 23:06:40,612-Speed 7.18 samples/sec   Loss 27.3076   LearningRate 0.0006250   Epoch: 0   Global Step: 2050   Required: 8 hours
Training: 2021-10-28 23:06:49,062-Speed 189.68 samples/sec   Loss 27.4460   LearningRate 0.0006250   Epoch: 0   Global Step: 2100   Required: 8 hours
Training: 2021-10-28 23:06:57,525-Speed 189.40 samples/sec   Loss 26.9813   LearningRate 0.0006250   Epoch: 0   Global Step: 2150   Required: 8 hours
Training: 2021-10-28 23:07:06,014-Speed 188.80 samples/sec   Loss 26.5891   LearningRate 0.0006250   Epoch: 0   Global Step: 2200   Required: 8 hours
Training: 2021-10-28 23:07:14,523-Speed 188.36 samples/sec   Loss 26.5995   LearningRate 0.0006250   Epoch: 0   Global Step: 2250   Required: 7 hours
Training: 2021-10-28 23:07:23,049-Speed 188.00 samples/sec   Loss 27.0746   LearningRate 0.0006250   Epoch: 0   Global Step: 2300   Required: 7 hours
Training: 2021-10-28 23:07:31,584-Speed 187.80 samples/sec   Loss 26.0758   LearningRate 0.0006250   Epoch: 0   Global Step: 2350   Required: 7 hours
Training: 2021-10-28 23:07:40,108-Speed 188.05 samples/sec   Loss 26.7306   LearningRate 0.0006250   Epoch: 0   Global Step: 2400   Required: 7 hours
Training: 2021-10-28 23:07:48,597-Speed 188.80 samples/sec   Loss 26.0281   LearningRate 0.0006250   Epoch: 0   Global Step: 2450   Required: 7 hours
Training: 2021-10-28 23:07:57,082-Speed 188.92 samples/sec   Loss 25.5039   LearningRate 0.0006250   Epoch: 0   Global Step: 2500   Required: 7 hours
Training: 2021-10-28 23:08:05,558-Speed 189.10 samples/sec   Loss 25.8771   LearningRate 0.0006250   Epoch: 0   Global Step: 2550   Required: 7 hours
Training: 2021-10-28 23:08:14,032-Speed 189.16 samples/sec   Loss 25.0179   LearningRate 0.0006250   Epoch: 0   Global Step: 2600   Required: 7 hours
Training: 2021-10-28 23:08:22,516-Speed 188.92 samples/sec   Loss 25.8233   LearningRate 0.0006250   Epoch: 0   Global Step: 2650   Required: 7 hours
Training: 2021-10-28 23:08:30,999-Speed 188.96 samples/sec   Loss 25.2489   LearningRate 0.0006250   Epoch: 0   Global Step: 2700   Required: 7 hours
Training: 2021-10-28 23:08:39,475-Speed 189.12 samples/sec   Loss 25.2384   LearningRate 0.0006250   Epoch: 0   Global Step: 2750   Required: 7 hours
Training: 2021-10-28 23:08:47,962-Speed 188.82 samples/sec   Loss 25.1961   LearningRate 0.0006250   Epoch: 0   Global Step: 2800   Required: 7 hours
Training: 2021-10-28 23:08:56,454-Speed 188.76 samples/sec   Loss 24.3776   LearningRate 0.0006250   Epoch: 0   Global Step: 2850   Required: 7 hours
Training: 2021-10-28 23:09:04,974-Speed 188.10 samples/sec   Loss 25.6750   LearningRate 0.0006250   Epoch: 0   Global Step: 2900   Required: 7 hours
